SurveyArea,percent_surveyarea
PB,0.0281
GB,0.0246
SC,0.0671
NJ,0.0492
LS,0.018
EI,0.0563
PF,0.0203
PS,0.017
SP,0.0747
ICY,0.0791
GLB,0.0991
PC,0.056
TB,0.031
HB,0.0911
